city,outlet,headline_uk,link,published,quote_uk,category,status,provenance,provenance_detail_uk,run
Khmelnytskyi,ye.ua,У середмісті Хмельницького відбулася акція проти звільнення міністра оборони Федорова,https://ye.ua/syspilstvo/79616_U_seredmisti_Hmelnickogo_vidbulasya_akciya_proti_zvilnennya_ministra_oboroni_Fedorova.html,"16.07, 12:12",«Близько сотні людей зібралися з плакатами на площі біля ТЦ «Дитячий світ»»,100–999,took place,own correspondent,власна кореспондентка,13:00
Khmelnytskyi,vsim.ua,Хмельничани влаштували акцію проти відставки міністра оборони Федорова,https://vsim.ua/Podii/hmelnichani-vlashtuvali-aktsiyu-proti-vidstavki-ministra-oboroni-fedor-12001840.html,"16.07, 09:20","«Станом на 9:20, участь в мітингу беруть близько сотні людей»",100–999,took place,own correspondent,власний репортаж,13:00
Khmelnytskyi,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«Близько сотні людей доєдналися до акції протесту у середмісті»,100–999,took place,not stated,не вказано,13:00
Khmelnytskyi,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",«Станом на 9:05 є біля 50 людей»  ранній зріз,<100,took place,open-source photo,фото з відкритих джерел,13:00
Cherkasy,Суспільне Черкаси,Акція в Черкасах,https://suspilne.media/cherkasy/1356340-vlada-ukraini-nalezit-narodu-u-cerkasah-vidbuvsa-miting-cerez-vidstavku-fedorova/,"16.07, 09:44 (онов. 12:15)","«На зібранні присутні близько сотні містян, повідомили кореспондентки»",100–999,took place,own correspondent,власні кор.,13:00
Cherkasy,dzvin.media,Пікет з картонками: в Черкасах мітингували на захист Федорова,https://dzvin.media/news/mityng-z-kartonkamy-v-cherkasah-mitynguvaly-na-zahyst-fedorova/,"16.07, 09:44","«Всього зібралося біля 30 осіб, переважно молодих людей»  ранній зріз, власне спостереження",<100,took place,own correspondent,власне видання,13:00
Cherkasy,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31","«За інформацією Суспільного, на Соборній площі зібралися близько 30 містян»  цитує ранню версію",<100,took place,relay,ретрансляція,13:00
Cherkasy,procherk.info,—,https://procherk.info/news/fotofakt/133995-u-cherkasah-vidbuvsja-miting-cherez-vidstavku-fedorova,"16.07, 12:27",«близько сотні»,100–999,took place,relay,вторинне (посилання на Суспільне),13:00
Zaporizhzhia,Суспільне Запоріжжя,Акція у Запоріжжі,https://suspilne.media/zaporizhzhia/1356314-ruki-get-vid-fedorova-u-zaporizzi-vidbuvsa-kartonnij-miting-na-pidtrimku-ministra-oboroni-ukraini/,"16.07, 09:48 (онов. 10:51)",«Близько 60 місцевих жителів вийшли з плакатами»,<100,took place,own correspondent,власний кор.,13:00
Zaporizhzhia,061.ua,Запоріжці вийшли на акцію протесту через рішення Зеленського звільнити Федорова,https://www.061.ua/news/4130779/zaporizci-vijsli-na-akciu-protestu-cerez-risenna-zelenskogo-zvilniti-fedorova,"16.07, 10:19",«Попри повітряну тривогу та щоденні обстріли… зібралось понад півсотні людей. Вона проходила в центрі міста — на бульварі Шевченка»,<100,took place,own correspondent,власне видання,13:00
Zaporizhzhia,inform.zp.ua,У Запоріжжі — акція на підтримку Михайла Федорова,https://www.inform.zp.ua/uk/2026/07/16/379628_u-zaporizhzhi-aktsiya-na-pidtrymku-myhajla-fedorova-foto-video/,"16.07, 09:57",невідомо,unknown,took place,own correspondent,власне видання,13:00
Zaporizhzhia,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:38",«близько 60 людей вийшли з «картонками»»,<100,took place,relay,Суспільне,13:00
Zaporizhzhia,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",«Близько 60 запоріжців виступили з незгодою»,<100,took place,open-source photo,фото з відкритих джерел,13:00
Poltava,poltava.to,—,https://poltava.to/news/87324/,"16.07, 10:04",«16 липня близько 70 полтавців зібралися в центрі міста»,<100,took place,own correspondent,власне видання,13:00
